Place,Route,Time_of_Day,Peak_Type,Passenger_Demand,Traffic_Conditions,Scheduled_Buses
Mylapore,Route_4,Night,Non_Peak,54,High,10
Porur,Route_6,Afternoon_School,Office,85,Low,8
Velachery,Route_5,Morning_Office,School,161,Moderate,20
Vadapalani,Route_5,Late_Morning,Non_Peak,70,Moderate,8
Adyar,Route_6,Morning_Office,School,148,High,29
Tambaram,Route_6,Night,Non_Peak,66,Low,6
Tambaram,Route_4,Evening_Office,Office,104,Moderate,13
Mylapore,Route_4,Morning_Office,College,145,High,29
Porur,Route_4,Evening_Office,Office,89,Moderate,11
Adyar,Route_4,Morning_School,College,135,High,27
T. Nagar,Route_3,Night,Non_Peak,49,High,9
T. Nagar,Route_1,Night,Non_Peak,69,Low,6
Guindy,Route_2,Night,Non_Peak,78,High,15
Tambaram,Route_5,Morning_School,Office,188,Moderate,23
Porur,Route_3,Late_Morning,Non_Peak,24,Low,2
Guindy,Route_1,Afternoon_School,School,198,Low,19
Vadapalani,Route_5,Evening_Office,School,199,Moderate,24
T. Nagar,Route_3,Morning_Office,College,112,Low,11
Velachery,Route_2,Late_Morning,Non_Peak,73,High,14
Porur,Route_3,Morning_Office,Office,144,High,28
Tambaram,Route_2,Evening_Office,Office,97,Moderate,12
Mylapore,Route_5,Early_Afternoon,Non_Peak,51,Moderate,6
Guindy,Route_6,Night,Non_Peak,66,High,13
Tambaram,Route_1,Early_Afternoon,Non_Peak,68,Moderate,8
Tambaram,Route_2,Night,Non_Peak,30,Moderate,3
Adyar,Route_6,Afternoon_School,College,164,Moderate,20
Anna Nagar,Route_1,Night,Non_Peak,45,Low,4
Adyar,Route_2,Afternoon_School,Office,142,Moderate,17
Kodambakkam,Route_5,Early_Afternoon,Non_Peak,44,Moderate,5
Guindy,Route_1,Late_Morning,Non_Peak,41,High,8
Tambaram,Route_5,Evening_Office,College,138,Moderate,17
Porur,Route_5,Morning_Office,College,106,Low,10
Adyar,Route_6,Evening_Office,Office,128,Moderate,16
Guindy,Route_1,Night,Non_Peak,32,Low,3
Porur,Route_6,Early_Afternoon,Non_Peak,52,High,10
Mylapore,Route_5,Morning_Office,Office,177,Low,17
Tambaram,Route_2,Late_Morning,Non_Peak,60,Low,6
Mylapore,Route_3,Morning_School,Office,178,Moderate,22
Mylapore,Route_2,Night,Non_Peak,20,High,4
Mylapore,Route_6,Morning_Office,Office,100,Low,10
Tambaram,Route_5,Early_Afternoon,Non_Peak,67,Low,6
Vadapalani,Route_1,Afternoon_School,School,134,High,26
Kodambakkam,Route_2,Morning_School,College,85,High,17
Mylapore,Route_1,Evening_Office,School,171,Low,17
Anna Nagar,Route_1,Morning_Office,College,160,Moderate,20
Mylapore,Route_5,Morning_Office,Office,148,Low,14
Guindy,Route_6,Night,Non_Peak,50,Low,5
Tambaram,Route_4,Evening_Office,College,84,Low,8
Porur,Route_4,Morning_School,College,181,Low,18
Tambaram,Route_1,Morning_Office,College,82,Low,8
Tambaram,Route_1,Morning_Office,School,132,High,26
Mylapore,Route_5,Afternoon_School,Office,102,High,20
Velachery,Route_1,Evening_Office,College,180,Low,18
Mylapore,Route_1,Late_Morning,Non_Peak,72,High,14
Anna Nagar,Route_6,Early_Afternoon,Non_Peak,56,High,11
Kodambakkam,Route_6,Early_Afternoon,Non_Peak,29,Low,2
Adyar,Route_3,Late_Morning,Non_Peak,29,Low,2
Tambaram,Route_1,Late_Morning,Non_Peak,38,High,7
